Sentence_ID,Token,Label
56,ihr,n
56,habt,n
56,gay,n
56,patentiert,n
56,",",n
56,macht,n
56,auf,n
56,fuck,B-B
56,fake,n
56,friends,n
56,.,n
41,deine,n
41,bitch,B-B
41,zu,n
41,ficken,B-B
41,kostet,n
41,mich,n
41,ne,n
41,autofahrt,n
41,.,n
20,nutte,B-B
20,",",n
20,du,n
20,machst,n
20,auf,n
20,kanackenfreestyle,B-B
20,.,n
32,bitches,B-B
32,auf,n
32,dem,n
32,beifahrersitz,n
32,.,n
116,wenn,n
116,ich,n
116,sterbe,n
116,",",n
116,ja,n
116,",",n
116,dann,n
116,hörn,n
116,sie,n
116,meine,n
116,lost,n
116,tapes,n
116,",",n
116,ja,n
116,.,n
57,shit,B-B
57,ich,n
57,bin,n
57,boss,n
57,.,n
70,ich,n
70,lieb,n
70,diesen,n
70,ghetto,n
70,scheiß,B-B
70,born,n
70,to,n
70,be,n
70,wild,n
106,alle,n
106,sind,n
106,auf,n
106,keep,n
106,it,n
106,real,n
106,unterwegs,n
106,keep,n
106,it,n
106,real,n
106,.,n
82,im,n
82,porsche-jeep,n
82,auf,n
82,kokain,n
82,",",n
82,alle,n
82,motherfucker,B-B
82,wollen,n
82,groß,n
82,verdienen,n
82,.,n
27,ich,n
27,guck,n
27,diese,n
27,nutte,B-B
27,an,n
27,",",n
27,du,n
27,bist,n
27,whack,n
27,",",n
27,bitch,B-B
27,.,n
96,ging's,n
96,mir,n
96,um,n
96,fame,n
96,",",n
96,kolleg,n
96,",",n
96,wär,n
96,ich,n
96,jetzt,n
96,bei,n
96,385.,n
28,z,n
28,rappt,n
28,so,n
28,perfekt,n
28,",",n
28,es,n
28,ist,n
28,z,n
28,",",n
28,motherfucker,B-B
28,.,n
65,ja,n
65,",",n
65,ich,n
65,weiß,n
65,",",n
65,dass,n
65,du,n
65,das,n
65,alles,n
65,scheiße,B-B
65,findest,n
65,",",n
65,aber,n
65,es,n
65,bleiben,n
65,bitches,B-B
5,die,n
5,kleine,n
5,bitch,B-B
5,findet,n
5,mich,n
5,geil,n
5,.,n
98,mein,n
98,fünfhunderter,n
98,macht,n
98,lärm,n
98,",",n
98,weil,n
98,ich,n
98,aus,n
98,der,n
98,hood,n
98,komm,n
98,.,n
101,polizeikontrolle,n
101,",",n
101,kickdown,n
101,",",n
101,was,n
101,solls,n
101,.,n
37,ey,n
37,",",n
37,yo,n
37,",",n
37,dieser,n
37,bastard,B-B
37,sieht,n
37,wie,n
37,ein,n
37,homo,B-B
37,aus,n
37,.,n
81,bis,n
81,aus,n
81,euren,n
81,hurensohnköpfen,B-B
81,etwas,n
81,rotes,n
81,rausläuft,n
81,.,n
94,nur,n
94,noch,n
94,cash,n
94,in,n
94,mei'm,n
94,head,n
94,",",n
94,jeder,n
94,song,n
94,ist,n
94,ein,n
94,brett,n
94,.,n
85,nutte,B-B
85,",",n
85,ich,n
85,übernehm,n
85,das,n
85,business,n
85,",",n
85,bro,n
85,",",n
85,mit,n
85,sicken,n
85,flows,n
85,.,n
19,capital,n
19,fickt,B-B
19,dich,n
19,",",n
19,danach,n
19,deine,n
19,mom,n
19,und,n
19,bitch,B-B
19,.,n
11,die,n
11,ganzen,n
11,wichser,B-B
11,wollen,n
11,ran,n
11,an,n
11,unsre,n
11,scheine,n
11,.,n
123,denn,n
123,ich,n
123,mache,n
123,es,n
123,viel,n
123,zu,n
123,easy,n
123,.,n
12,dein,n
12,schwanz,B-B
12,ist,n
12,über,n
12,miesen,n
12,",",n
12,sick,n
12,",",n
12,yo,n
12,.,n
128,yeah,n
128,",",n
128,ganz,n
128,ehrlich,n
128,",",n
128,acapella,n
128,",",n
128,halbfinale,n
128,.,n
46,ich,n
46,zerhau,n
46,dich,n
46,pisser,B-B
46,",",n
46,yeah,n
46,!,n
71,nako,n
71,is,n
71,king,n
71,",",n
71,mutterficker,B-B
71,vergeben,n
71,.,n
79,bitches,B-B
79,",",n
79,sie,n
79,finden,n
79,die,n
79,prolligen,n
79,arme,n
79,grauenvoll,n
79,wie,n
79,sonny,n
79,blacks,n
79,haare,n
79,.,n
48,eine,n
48,kugel,n
48,",",n
48,sie,n
48,reicht,n
48,für,n
48,dich,n
48,sohn,n
48,einer,n
48,slut,B-B
48,.,n
1,dein,n
1,chick,B-B
1,ist,n
1,ne,n
1,broke-ass-bitch,B-B
1,",",n
1,denn,n
1,ich,n
1,fick,B-B
1,sie,n
1,",",n
1,bis,n
1,ihr,n
1,steißbein,n
1,bricht,n
1,.,n
13,wer,n
13,will,n
13,beef,n
13,mit,n
13,mir,n
13,?,n
13,capital,n
13,",",n
13,ich,n
13,ficke,B-B
13,alle,n
13,",",n
13,alle,n
13,.,n
43,ey,n
43,",",n
43,wie,n
43,kann,n
43,ich,n
43,hier,n
43,nur,n
43,diesen,n
43,hässlichen,n
43,krüppel,B-B
43,zerfetzen,n
43,.,n
52,mit,n
52,disco-hoes,B-B
52,und,n
52,diskutieren,n
52,stundenlang,n
52,auf,n
52,whiskey-coke,n
52,.,n
25,ich,n
25,fick,B-B
25,diesen,n
25,kleinen,n
25,",",n
25,dummen,B-B
25,bastard,B
25,",",n
25,alter,n
25,",",n
25,capital,n
25,.,n
68,ich,n
68,zahle,n
68,gar,n
68,nix,n
68,",",n
68,miese,n
68,punanis,B-B
68,.,n
114,ich,n
114,geb,n
114,power,n
114,power,n
114,",",n
114,hinter,n
114,mir,n
114,die,n
114,bras,n
114,wie,n
114,eine,n
114,mauer,n
114,ja,n
114,.,n
90,renn,n
90,weg,n
90,",",n
90,bevor,n
90,sich,n
90,bullets,n
90,in,n
90,deinen,n
90,schädel,n
90,bohrn,n
90,.,n
16,du,n
16,ziehst,n
16,deinen,n
16,schwanz,B-B
16,und,n
16,fickst,B-B
16,wie,n
16,eine,n
16,hinterhältige,n
16,möse,B-B
16,.,n
78,bitch,B-B
78,",",n
78,ihr,n
78,seid,n
78,wack,n
78,",",n
78,kein,n
78,respekt,n
78,vor,n
78,euch,n
78,",",n
78,deutscher,n
78,rap,n
78,juckt,n
78,mich,n
78,ein'n,n
78,scheißdreck,B-B
78,.,n
23,radikal,n
23,sorge,n
23,ich,n
23,dafür,n
23,",",n
23,dass,n
23,die,n
23,kleinen,n
23,wichser,B-B
23,bar,n
23,bezahlen,n
23,.,n
45,deine,n
45,bitch,B-B
45,macht,n
45,einen,n
45,auf,n
45,treu,n
45,",",n
45,doch,n
45,mittlerweile,n
45,fickt,B-B
45,die,n
45,torte,n
45,jeder,n
45,.,n
66,du,n
66,bist,n
66,ne,n
66,richtige,n
66,hurentochter,B-B
66,.,n
97,push,n
97,die,n
97,preise,n
97,nach,n
97,oben,n
97,mit,n
97,reineren,n
97,drogen,n
97,drogen,n
97,.,n
31,es,n
31,ist,n
31,z,n
31,",",n
31,motherfucker,B-B
31,",",n
31,der,n
31,in,n
31,deiner,n
31,fotze,B-B
31,brennt,n
31,",",n
31,haha,n
31,.,n
63,bitch,B-B
63,lauf,n
63,",",n
63,sonst,n
63,fick,B-B
63,ich,n
63,deine,n
63,bitch,B-B
63,auch,n
63,.,n
126,mit,n
126,day-date,n
126,am,n
126,arm,n
126,in,n
126,der,n
126,u-bahn,n
126,fahren,n
126,.,n
10,der,n
10,drecksbulle,B-B
10,hält,n
10,mich,n
10,an,n
10,",",n
10,ich,n
10,habe,n
10,nix,n
10,gestohln,n
10,.,n
34,ey,n
34,",",n
34,euer,n
34,crewmaskottchen,n
34,ist,n
34,ein,n
34,blowjob,B-B
34,.,n
67,und,n
67,nochmal,n
67,chillen,n
67,mit,n
67,paar,n
67,vollidioten,B-B
67,",",n
67,tankstelle,n
67,",",n
67,ja,n
67,.,n
26,was,n
26,isn,n
26,los,n
26,bei,n
26,dir,n
26,?,n
26,ey,n
26,",",n
26,ich,n
26,guck,n
26,deine,n
26,hoe,B-B
26,an,n
26,und,n
26,ich,n
26,krepier,n
26,.,n
119,dieser,n
119,boy,n
119,braucht,n
119,das,n
119,money,n
119,und,n
119,ein,n
119,bisschen,n
119,von,n
119,dem,n
119,fame,n
119,.,n
29,wenn,n
29,ich,n
29,komm,n
29,",",n
29,motherfucker,B-B
29,",",n
29,dann,n
29,bist,n
29,du,n
29,nur,n
29,flöten,n
29,.,n
99,i,n
99,love,n
99,you,n
99,enissa,n
99,amani,n
99,.,n
130,back,n
130,on,n
130,the,n
130,streets,n
130,",",n
130,weil,n
130,das,n
130,feuer,n
130,grade,n
130,neu,n
130,entfacht,n
130,.,n
54,macht,n
54,mal,n
54,lärm,n
54,für,n
54,den,n
54,coolen,n
54,motherfucker,B-B
54,!,n
6,ja,n
6,",",n
6,jetzt,n
6,steigt,n
6,deine,n
6,schlampe,B-B
6,ein,n
6,.,n
69,und,n
69,ich,n
69,gebe,n
69,keinen,n
69,fick,B-B
69,",",n
69,denn,n
69,der,n
69,boy,n
69,ist,n
69,viel,n
69,zu,n
69,fly,n
69,.,n
74,bringt,n
74,dann,n
74,die,n
74,säcke,n
74,zum,n
74,kompost,n
74,und,n
74,blowt,B-B
74,den,n
74,prächtigen,n
74,boss-cock,B-B
74,.,n
40,was,n
40,für,n
40,bad-boys,n
40,?,n
40,ihr,n
40,seid,n
40,dreckstoys,B-B
40,for,n
40,life,n
40,.,n
50,jetzt,n
50,kommen,n
50,die,n
50,deutschrappenden,n
50,kings,n
50,",",n
50,alles,n
50,andre,n
50,sind,n
50,nur,n
50,fotzen,B-B
50,.,n
36,fick,B-B
36,ich,n
36,sie,n
36,in,n
36,den,n
36,arsch,B-B
36,bin,n
36,ich,n
36,bei,n
36,"7,80",n
36,euro,n
36,.,n
17,capital,n
17,bra,n
17,",",n
17,ich,n
17,komm,n
17,",",n
17,ich,n
17,ficke,B-B
17,dein'n,n
17,bitchrap,B-B
17,.,n
127,okay,n
127,",",n
127,du,n
127,kommst,n
127,gegen,n
127,meinen,n
127,bro,n
127,an,n
127,",",n
127,er,n
127,ist,n
127,stoned,n
127,.,n
35,ich,n
35,bin,n
35,kaffer,B-B
35,",",n
35,ich,n
35,bin,n
35,unübertreffbar,n
35,.,n
86,cash,n
86,all-green,n
86,wie,n
86,ein,n
86,ganja-verkäufer,n
86,.,n
8,und,n
8,alle,n
8,bitches,B-B
8,tanzen,n
8,",",n
8,ja,n
8,",",n
8,ich,n
8,lass,n
8,die,n
8,bitches,B-B
8,tanzen,n
8,uff,n
8,.,n
44,ey,n
44,",",n
44,du,n
44,bist,n
44,so,n
44,scheiße,B-B
44,du,n
44,bist,n
44,n,n
44,hurenschleimer,B-B
44,.,n
77,ah,n
77,",",n
77,jetzt,n
77,wird,n
77,deine,n
77,slut,B-B
77,gebumst,B-B
77,",",n
77,sie,n
77,kriegt,n
77,meinen,n
77,schwanz,B-B
77,in,n
77,mund,n
77,.,n
105,all,n
105,the,n
105,way,n
105,up,n
105,aus,n
105,der,n
105,mittelschicht,n
105,ey,n
105,.,n
111,yeah,n
111,",",n
111,du,n
111,bist,n
111,chancenlos,n
111,auf,n
111,der,n
111,bühne,n
111,.,n
9,denn,n
9,hurensöhne,B-B
9,halten,n
9,fresse,n
9,wie,n
9,ein,n
9,pantomim,n
9,.,n
14,deine,n
14,mama,n
14,fragt,n
14,shit,B-B
14,",",n
14,war,n
14,dein,n
14,vater,n
14,da,n
14,?,n
95,zu,n
95,fuß,n
95,gehen,n
95,ist,n
95,safer,n
95,als,n
95,n,n
95,beamer,n
95,zu,n
95,fahren,n
95,.,n
4,der,n
4,hurensohn,B-B
4,hat,n
4,nix,n
4,zu,n
4,tun,n
4,.,n
18,ah,n
18,",",n
18,was,n
18,ist,n
18,das,n
18,für,n
18,ein,n
18,muschibattle,B-B
18,?,n
39,ich,n
39,ficke,B-B
39,dich,n
39,und,n
39,deine,n
39,mom,n
39,bei,n
39,fifa,n
39,.,n
73,fuck,B-B
73,mich,n
73,ab,n
73,und,n
73,ich,n
73,ficke,B-B
73,deine,n
73,schwangere,n
73,frau,n
73,.,n
102,immer,n
102,mit,n
102,der,n
102,family,n
102,",",n
102,du,n
102,denkst,n
102,",",n
102,ich,n
102,komm,n
102,aus,n
102,quahog,n
7,ach,n
7,",",n
7,lass,n
7,die,n
7,huren,B-B
7,reden,n
7,",",n
7,ich,n
7,will,n
7,ein,n
7,gutes,n
7,leben,n
7,.,n
84,ich,n
84,schieb,n
84,mit,n
84,bitches,B-B
84,aus,n
84,dem,n
84,radio,n
84,nummern,n
84,.,n
113,wolln,n
113,den,n
113,alten,n
113,mighty,n
113,wieder,n
113,",",n
113,nicht,n
113,mehr,n
113,deep,n
113,",",n
113,kein,n
113,problem,n
113,!,n
115,rauche,n
115,cheese,n
115,",",n
115,kein,n
115,gouda,n
115,",",n
115,ja,n
115,nein,n
115,.,n
55,bitch,B-B
55,",",n
55,ich,n
55,bin,n
55,fame,n
55,",",n
55,fick,B-B
55,dein,n
55,kamerateam,n
55,.,n
51,kopf,n
51,ist,n
51,wieder,n
51,kafa,n
51,",",n
51,bin,n
51,berliner,n
51,motherfucker,B-B
51,.,n
121,uh,n
121,",",n
121,ah,n
121,",",n
121,spotify-rich,n
121,.,n
47,du,n
47,kriegst,n
47,schrotteile,n
47,ab,n
47,",",n
47,nutte,B-B
47,",",n
47,all,n
47,eyes,n
47,on,n
47,us,n
47,.,n
109,ich,n
109,komm,n
109,mit,n
109,jungs,n
109,aus,n
109,stalingrad,n
109,",",n
109,zeig,n
109,euch,n
109,wie,n
109,man,n
109,money,n
109,macht,n
109,.,n
62,du,n
62,kannst,n
62,meinen,n
62,cock,B-B
62,blasen,B
62,.,n
129,rapper,n
129,wollen,n
129,beef,n
129,–,n
129,irgend,n
129,einen,n
129,.,n
80,nuttensohn,B-B
80,",",n
80,ich,n
80,baller,n
80,',n
80,dir,n
80,mit,n
80,der,n
80,gun,n
80,ins,n
80,gesicht,n
80,.,n
124,kirros,n
124,connecten,n
124,bis,n
124,prishtina,n
124,haha,n
124,.,n
92,rock'n,n
92,roll,n
92,heute,n
92,bin,n
92,ich,n
92,nicht,n
92,mehr,n
92,broke,n
92,",",n
92,volles,n
92,risiko,n
42,pussy,B-B
42,",",n
42,bin,n
42,in,n
42,der,n
42,probezeit,n
42,nicht,n
42,drogenfrei,n
42,",",n
42,sondern,n
42,sowas,n
42,von,n
42,high,n
42,.,n
59,nigga,B-B
59,",",n
59,ich,n
59,pack,n
59,',n
59,heat,n
59,und,n
59,ich,n
59,bin,n
59,ready,n
59,für,n
59,den,n
59,krieg,n
59,.,n
91,cash,n
91,rules,n
91,everything,n
91,around,n
91,me,n
91,alles,n
91,.,n
49,hör,n
49,mal,n
49,zu,n
49,",",n
49,du,n
49,schwanzlutscher,B-B
49,",",n
49,mach,n
49,deine,n
49,hand,n
49,runter,n
49,.,n
89,push,n
89,",",n
89,push,n
89,bis,n
89,zur,n
89,cartier,n
89,push,n
89,.,n
112,du,n
112,denkst,n
112,",",n
112,du,n
112,wärst,n
112,hier,n
112,fresh,n
112,der,n
112,held,n
112,.,n
58,69,n
58,",",n
58,pussy,B-B
58,",",n
58,suck,B-B
58,",",n
58,facedrive,B-B
58,.,n
76,doch,n
76,ich,n
76,will,n
76,heut,n
76,nur,n
76,abhäng'n,n
76,wie,n
76,die,n
76,bitchtits,B-B
76,von,n
76,rick,n
76,ross,n
76,.,n
33,rap,n
33,am,n
33,mittwoch,n
33,",",n
33,ich,n
33,fick,B-B
33,deine,n
33,bitch,B-B
33,doch,n
33,",",n
33,ins,n
33,loch,n
33,.,n
125,die,n
125,stimmung,n
125,ist,n
125,down,n
125,",",n
125,ich,n
125,bin,n
125,schlecht,n
125,gelaunt,n
125,.,n
60,das,n
60,acht,n
60,zum,n
60,motherfucking,B-B
60,vier,n
60,",",n
60,der,n
60,krasseste,n
60,auf,n
60,beats,n
60,.,n
64,headshot,n
64,kennedy,n
64,",",n
64,fick,B-B
64,deine,n
64,family,n
64,.,n
110,er,n
110,muss,n
110,ja,n
110,sein,n
110,face,n
110,die,n
110,ganze,n
110,zeit,n
110,unter,n
110,seiner,n
110,mütze,n
110,verstecken,n
110,.,n
38,yeah,n
38,",",n
38,du,n
38,denkst,n
38,",",n
38,du,n
38,wärst,n
38,ein,n
38,nigga,B-B
38,von,n
38,der,n
38,westcoast,n
38,.,n
30,deine,n
30,mutter,n
30,will,n
30,mein,n
30,cock,B-B
30,und,n
30,zwar,n
30,zu,n
30,krass,n
30,.,n
108,full,n
108,",",n
108,das,n
108,ist,n
108,wahre,n
108,liebe,n
108,!,n
118,easy,n
118,",",n
118,kollege,n
118,",",n
118,das,n
118,regeln,n
118,wir,n
118,ey,n
118,.,n
2,ich,n
2,trink,n
2,nur,n
2,safari,n
2,",",n
2,bratan,n
2,",",n
2,fick,B-B
2,auf,n
2,powerade,n
2,hahahaha,n
2,.,n
53,und,n
53,wie,n
53,sie,n
53,alle,n
53,hießen,n
53,auf,n
53,dein'm,n
53,weg,n
53,bis,n
53,ganz,n
53,nach,n
53,oben,n
53,",",n
53,du,n
53,alte,n
53,snitch,B-B
53,.,n
22,und,n
22,wenn,n
22,ich,n
22,deep,n
22,spit,n
22,nehmen,n
22,diese,n
22,ficker,B-B
22,mich,n
22,nicht,n
22,ernst,n
22,.,n
3,so,n
3,viele,n
3,bitches,B-B
3,",",n
3,die,n
3,mich,n
3,liken,n
3,na,n
3,na,n
3,na,n
3,na,n
3,.,n
24,ich,n
24,ficke,B-B
24,deinen,n
24,bitchbart,B-B
24,!,n
104,guck,n
104,",",n
104,jetzt,n
104,mach,n
104,ich,n
104,money,n
104,",",n
104,viel,n
104,patte,n
104,",",n
104,geb,n
104,es,n
104,papa,n
104,.,n
100,wir,n
100,zwei,n
100,sind,n
100,ein,n
100,bündnis,n
100,for,n
100,life,n
100,",",n
100,der,n
100,körper,n
100,klar,n
100,definiert,n
117,ich,n
117,hab,n
117,den,n
117,nacken,n
117,voller,n
117,diamonds,n
117,.,n
88,moscow,n
88,unterwelt,n
88,",",n
88,welcome,n
88,in,n
88,the,n
88,rich,n
88,world,n
88,.,n
120,mbeezy,n
120,sitzt,n
120,in,n
120,der,n
120,booth,n
120,und,n
120,droppt,n
120,nen,n
120,kleinen,n
120,freesy-stylie,n
120,.,n
75,sie,n
75,wollen,n
75,den,n
75,cumshot,B-B
75,nicht,n
75,teilen,n
75,",",n
75,also,n
75,spritz,n
75,ich,n
75,straight,n
75,in,n
75,den,n
75,deckenventilator,n
75,.,n
87,falscher,n
87,ort,n
87,",",n
87,aber,n
87,richtiger,n
87,zeitpunkt,n
87,.,n
83,jeder,n
83,pisser,B-B
83,mit,n
83,nem,n
83,beat,n
83,träumt,n
83,vom,n
83,rapstarlife,n
83,.,n
122,maxwell,n
122,top,n
122,level,n
122,1a,n
122,stoffwechsel,n
122,.,n
131,this,n
131,is,n
131,z,n
131,",",n
131,ich,n
131,bleib,n
131,',n
131,untergrund,n
131,.,n
21,du,n
21,und,n
21,deine,n
21,family,n
21,?,n
21,schwuchtel,B-B
21,!,n
61,ich,n
61,ficke,B-B
61,deinen,n
61,piss,B-B
61,fame,n
61,!,n
72,von,n
72,deiner,n
72,mutter,n
72,du,n
72,nuttensohn,B-B
72,?,n
107,wir,n
107,habn,n
107,ein,n
107,movement,n
107,geprägt,n
107,",",n
107,deutschraps,n
107,zukunft,n
107,geprägt,n
107,.,n
15,aber,n
15,er,n
15,sagt,n
15,:,n
15,nein,n
15,",",n
15,shit,B-B
15,",",n
15,ich,n
15,hab,n
15,keinen,n
15,vater,n
15,parat,n
15,!,n
93,sie,n
93,sagt,n
93,",",n
93,ihr,n
93,geht's,n
93,nicht,n
93,um,n
93,fame,n
93,",",n
93,doch,n
93,ich,n
93,kann,n
93,nicht,n
93,kapieren,n
93,.,n
103,rapper,n
103,sind,n
103,im,n
103,erdgeschoss,n
103,",",n
103,ah,n
103,",",n
103,wir,n
103,sind,n
103,auf,n
103,dem,n
103,rooftop,n
103,.,n
